#symbol	H1Rosa7_d0	H1Rosa7_d1	H1Rosa7_d2	H1Rosa7_d3	H1Rosa7_d4	H1Rosa7_d5	H1Rosa7_d6	H1Rosa7_d7	H1Rosa7_d8	H1Rosa7_d10	H1Rosa7_d12	H1Rosa7_d14	H1Rosa7_d16	H1Rosa7_d18	H1Rosa7_d20	H1Rosa7_d21	H1Rosa7_d22	H1Rosa7_d24	H1Rosa7_d26	H1Rosa7_d30	H1Rosa7_d32	H1Rosa7_d34	H1Rosa7_d36	H1Rosa7_d38	H1Rosa7_d40	H1Rosa7_d42
ABHD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD10	37.19	22.44	23.77	19.81	28.46	33.22	33.06	40.86	38.13	41.35	71.05	90.76	69.46	56.74	54.21	64.47	55.17	69.74	69.82	91.65	76.5	85.41	75.91	49.47	93.19	85.61
ABHD11	16.36	21.04	13.09	20.91	6.79	16.09	24.37	19.14	19.61	30.61	31.21	11.93	25.69	11.98	8.2	6.37	29.48	21.78	31.4	18.32	16.05	8.85	11.1	34.58	11.91	106.99
ABHD12	59.78	55.19	44.88	47.99	51.69	27.43	49.04	43.11	52.38	70.82	59.61	72.28	43.67	53.88	50.9	35.97	36.07	74.77	37.66	61.51	48.68	72	40.5	46.64	32.46	29.74
ABHD12B	1.44	0	0	0	0	0	0	0	1.49	0	1.42	0	0	1.03	2.21	0	4.52	0	0	2.67	0	0	0	0	0	6.9
ABHD13	19.06	12.42	17.61	18.27	20.68	18.26	18.82	26.36	25.1	31.28	20.38	31.75	28.99	29.3	27.84	25.49	26.97	14.68	33.36	41.09	25.69	21.38	30.44	18.2	39.8	15.33
ABHD14A	0.97	0	0	4.56	0	4.3	10.65	13.67	14.03	17.45	13.36	8.83	16.77	6.93	4.52	8.06	16.16	20.15	18.98	17.86	7.25	8.82	26.46	5.63	19.21	18.66
ABHD14B	1.59	1.71	3.1	3.9	2.69	2.8	1.75	3.33	3.29	0	6.27	8.06	3.41	1.35	0	0	4.42	0	5.69	6.85	0	0	0	16.94	1.91	0
ABHD15	1.9	1.02	5.77	0.83	5.4	2.4	2.7	3.16	1.37	5.19	9.28	8.15	6.62	5.2	4.9	8.66	17.4	6.98	5.04	2.44	8.37	13.89	4.8	3.8	6.72	23.25
ABHD16A	19.43	23.8	34.73	42.75	28.03	29.61	21.32	37.45	29.94	25	24.88	34.65	37.21	33.87	36.83	40.28	39.52	47.79	34.38	26.21	36.29	50.81	60.24	39.74	34.15	33.79
ABHD16B	0	0	0	0	0	0	0	0	0.62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD2	19.24	22.51	15.78	17.88	15.49	17.44	14.5	24.09	29.56	34.69	40.09	20.52	21.93	29.59	19.49	28.48	25.18	32.47	45.78	45.15	42.31	26.4	42.91	37.27	34.27	48.39
ABHD3	5.65	12.74	9.46	8.48	6.53	7.62	8.49	4.04	12.24	16.86	10.14	7.82	8.17	11.04	12	17.98	3.22	42.84	10.09	6.64	13.49	13.12	18.75	20.18	3.71	14.87
ABHD4	24.45	28.2	17.65	24.87	13.93	13.76	10.69	21.54	25.78	12.46	30.8	24.4	17.68	20.54	23.65	14.76	23.8	10.39	11.96	10.91	15.81	10.01	7.7	9.82	4.57	24.42
ABHD5	8.65	17.61	14.16	13.67	8.74	9.93	4.12	7.57	6.32	9.04	14.34	16.17	9.1	14.37	6.74	10.16	16.44	19.75	20.17	10.58	22.49	19.74	12.92	25.18	26	20.71
ABHD6	5.75	1.91	7.03	17.22	21.92	16.4	18.04	15.29	29.34	15.25	18.33	16.17	11.51	14.58	14.47	7.37	12.94	10.9	13.51	8.99	15.76	14.53	4.84	13.52	8.79	9.96
ABHD8	5.58	16.96	10.61	13.16	5.8	3.76	8.94	13.55	16.82	14.15	8.01	14.68	10.27	5.81	15.01	4.23	4.24	6.73	7.75	13.12	23.78	11.11	20.36	11.81	17.41	24.48
ABI1	41.71	45.68	49.87	48.75	41.84	45.38	46.98	37.93	38.48	30.05	54.85	56.84	47.52	34.45	53.21	51.54	59.16	41.61	70.35	66.71	74.65	83.5	77.85	66.02	60.05	73.66
ABI2	92.99	90.98	139.22	160.87	200.21	241.88	250.01	202.18	210.37	207.57	242.55	279.2	233.24	208.17	235.67	308.39	271.23	209.31	217.3	297.61	274.35	250.64	320.52	271	343.94	279.26
ABI3	2.03	1.64	0	0	0	0	0	1.2	0	0.83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABI3BP	0	0	0	0	0	0	0	0	0	0	0	0.36	0	0.68	0.37	0	0	0	0	0.44	2.65	0	0	0	0	9.09
ABL1	74.32	94.7	103.44	113.59	111.98	92.22	64.78	79.75	66.2	67.97	61.1	54.44	64.15	70.83	73.45	74.86	76.36	70.57	82.11	67.66	68.11	73.52	63.82	98.06	50.11	52.93
ABL2	15.18	12.85	27.35	28.33	22.56	30.34	25.86	23.13	27.67	26.5	35.19	25.98	18.48	27.36	19.14	23.94	18.95	20.87	23.06	27.33	41.45	21.53	16.73	18.01	29.02	34.91
ABLIM1	64.2	52.59	46.02	86.31	93.82	69.22	54.13	47.98	63.33	81.99	58.64	45.54	42.01	40.57	29.57	49.22	30.42	45.58	38.74	26.1	25.95	23.62	23.28	30.88	44.39	40.56
ABLIM2	0.93	0	0.34	0.48	1.04	0	1.37	0.98	0	1.53	3.27	2.37	4.05	0.45	0.49	0	0	5.1	3.58	4.03	0	0	2.84	5.89	7.31	1.32
ABLIM3	0.24	0.26	0	0.29	0	0	0.54	0.57	5.04	1.99	1.92	0.74	0.7	1.39	6.44	0	2.03	5.53	2.65	2.25	8.66	24.84	19.52	21.93	7.46	14.86
ABO	0	0	0.56	0	0	0	0	0	0	0	0	0	0	2.9	0	0	0	0	1.47	0	0	0	6.15	0	0	0
ABP1	0.87	1.41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABR	29.76	20.41	42.09	59	58.44	50.9	74.53	75.83	89.67	95.61	104.67	79.49	72.36	84.16	73.37	57.75	58.26	97.75	122.97	108.04	101.55	86.96	119.07	118.92	82.26	75.82
ABRA	0.8	1.24	0.32	0	0.17	0.63	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0.81	0	0	0	0	0	1.77
ABRACL	1046.37	997.56	1179.34	1133.61	1006.32	1193.86	1116.78	833.42	670.65	733.17	468.56	462.63	500.25	446.26	350	406.45	330.8	401.58	373.19	252.37	361.41	312.15	400.64	224.72	497.94	234.04
